City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Albany,US,76.95,clear sky,42.6001,-73.9662,
8,Maumere,ID,77.29,scattered clouds,-8.6199,122.2111,Sylvia Hotel
13,Nouakchott,MR,78.73,scattered clouds,18.0858,-15.9785,HOTEL IMAN
15,Jamestown,US,78.06,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
16,Kapaa,US,75.52,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
18,Hambantota,LK,80.98,overcast clouds,6.1241,81.1185,Bungalow 63
21,Hobyo,SO,76.37,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
27,Krasnovka,RU,80.04,scattered clouds,48.8177,40.0923,
31,Sur,OM,83.46,light rain,22.5667,59.5289,Sur Plaza Hotel
32,Bom Despacho,BR,79.48,clear sky,-19.7364,-45.2522,Sitio Sensation
40,Ponta Do Sol,PT,75.83,clear sky,32.6667,-17.1,Hotel do Campo
41,Bengkulu,ID,75.51,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
47,Xuanzhou,CN,80.62,overcast clouds,30.9525,118.7553,Nanfang Hotel
48,Shieli,KZ,78.66,clear sky,44.1667,66.75,Gostinitsa Aybek Shieli
49,Butaritari,KI,81.01,light rain,3.0707,172.7902,Isles Sunset Lodge
52,Manzanillo,CU,86.65,broken clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
53,Bereda,ES,85.41,clear sky,43.2686,-7.5406,Pazo de Verdes
56,Netivot,IL,82.6,clear sky,31.4222,34.5886,"'בית החסד - מוסדות מאורות נתן' - מיסודו של הרב נתן בוקובזה זצוק""ל"
57,Tual,ID,79.93,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
59,Basco,PH,84.0,broken clouds,20.4487,121.9702,Nathaniel's Lodge
66,Abu Samrah,SY,84.52,clear sky,35.3029,37.1841,
71,Yunhe,CN,79.63,scattered clouds,34.0833,119.7167,Wanyuan Hotel
74,Griffith,US,79.3,clear sky,41.5284,-87.4237,Apartment above Depot Bar
76,Mantua,IT,86.09,scattered clouds,45.1667,10.7833,Hotel la Favorita
77,Ndele,CF,78.82,overcast clouds,8.4109,20.6473,
83,Faanui,PF,78.08,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
88,Adelanto,US,88.74,clear sky,34.5828,-117.4092,Days Inn Adelanto-Victorville
92,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
97,Bubaque,GW,81.54,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
104,Pundaguitan,PH,81.3,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
109,Sioux Falls,US,82.09,scattered clouds,43.55,-96.7003,"Holiday Inn Sioux Falls-City Centre, an IHG Hotel"
111,Acapulco,MX,85.32,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
116,Lasa,IT,76.37,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
117,Tecolutilla,MX,85.98,clear sky,18.2833,-93.3167,La Campesina
126,Buchanan,LR,77.0,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
127,Bethel,US,83.62,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
130,Labuhan,ID,76.06,clear sky,-6.8844,112.2051,DoubleFAG
133,Bara,NG,82.18,broken clouds,10.3744,10.7288,
134,Muroto,JP,78.44,broken clouds,33.2833,134.15,Oota Ryokan
136,Chivacoa,VE,77.81,overcast clouds,10.1603,-68.895,Hotel Fache C.A
139,Great Falls,US,80.69,clear sky,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
141,Lengshuijiang,CN,80.42,clear sky,27.6881,111.4294,Sheraton
142,Poum,NC,77.29,few clouds,-20.2333,164.0167,
144,Cayenne,GF,82.44,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
145,Bandarbeyla,SO,80.11,broken clouds,9.4942,50.8122,JABIR HOTEL
155,Saint Anthony,US,81.77,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
156,Trairi,BR,85.42,broken clouds,-3.2778,-39.2689,janelas do mar
157,San Vicente,AR,77.36,scattered clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
