City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,North Bend,US,43.4065,-124.2243,66.24,87,100,8.05,overcast clouds
1,Rikitea,PF,-23.1203,-134.9692,74.64,77,100,15.84,light rain
2,Avarua,CK,-21.2078,-159.775,71.65,68,100,8.05,overcast clouds
3,Ivangorod,RU,59.3716,28.2162,64.54,83,42,2.42,scattered clouds
4,Bluff,NZ,-46.6,168.3333,35.8,70,66,4.07,broken clouds
5,Bredasdorp,ZA,-34.5322,20.0403,56.19,68,19,8.77,few clouds
6,Punta Arenas,CL,-53.15,-70.9167,32.11,64,20,11.5,few clouds
7,Albany,US,42.6001,-73.9662,76.95,49,1,6.29,clear sky
8,Maumere,ID,-8.6199,122.2111,77.29,81,46,3.85,scattered clouds
9,Barrow,US,71.2906,-156.7887,48.22,81,0,11.5,clear sky
10,New Norfolk,AU,-42.7826,147.0587,45.9,81,52,2.66,broken clouds
11,Norman Wells,CA,65.282,-126.8329,64.44,68,40,3.44,smoke
12,Upernavik,GL,72.7868,-56.1549,39.6,83,3,9.28,clear sky
13,Nouakchott,MR,18.0858,-15.9785,78.73,79,38,16.08,scattered clouds
14,Turukhansk,RU,65.8167,87.9833,62.65,89,35,8.63,scattered clouds
15,Jamestown,US,42.097,-79.2353,78.06,49,0,11.5,clear sky
16,Kapaa,US,22.0752,-159.319,75.52,90,40,13.8,scattered clouds
17,Nikolskoye,RU,59.7035,30.7861,62.8,81,96,4.63,light rain
18,Hambantota,LK,6.1241,81.1185,80.98,74,97,20.27,overcast clouds
19,Luderitz,NA,-26.6481,15.1594,57.33,83,38,12.35,scattered clouds
20,Plettenberg Bay,ZA,-34.0527,23.3716,65.71,57,0,7.83,clear sky
21,Hobyo,SO,5.3505,48.5268,76.37,75,100,29.55,overcast clouds
22,Iqaluit,CA,63.7506,-68.5145,40.73,80,20,8.05,few clouds
23,Dikson,RU,73.5069,80.5464,33.19,89,33,7.43,scattered clouds
24,Port Alfred,ZA,-33.5906,26.891,68.18,36,0,10.45,clear sky
25,Yellowknife,CA,62.456,-114.3525,61.32,94,75,13.8,broken clouds
26,Hermanus,ZA,-34.4187,19.2345,58.96,75,23,10.49,few clouds
27,Krasnovka,RU,48.8177,40.0923,80.04,29,37,8.25,scattered clouds
28,Ribeira Grande,PT,38.5167,-28.7,73.8,64,75,19.57,broken clouds
29,Mataura,NZ,-46.1927,168.8643,35.47,92,23,2.13,few clouds
30,Ust-Kan,RU,50.9276,84.761,53.2,87,100,1.74,overcast clouds
31,Sur,OM,22.5667,59.5289,83.46,81,100,8.34,light rain
32,Bom Despacho,BR,-19.7364,-45.2522,79.48,33,0,7.0,clear sky
33,Kaeo,NZ,-35.1,173.7833,56.32,96,46,6.51,light rain
34,Straumen,NO,63.8709,11.2999,51.8,94,100,3.44,overcast clouds
35,Namibe,AO,-15.1961,12.1522,66.83,77,0,20.71,clear sky
36,Priiskovyy,RU,51.9333,116.6333,54.07,94,89,4.76,overcast clouds
37,Vorozhba,UA,51.1733,34.2192,64.08,91,91,6.89,overcast clouds
38,Pisco,PE,-13.7,-76.2167,64.02,82,75,2.3,mist
39,Pevek,RU,69.7008,170.3133,32.58,97,100,9.46,light snow
40,Ponta Do Sol,PT,32.6667,-17.1,75.83,60,4,2.84,clear sky
41,Bengkulu,ID,-3.8004,102.2655,75.51,88,8,4.21,clear sky
42,Kaitangata,NZ,-46.2817,169.8464,33.75,86,60,4.41,broken clouds
43,Saskylakh,RU,71.9167,114.0833,50.16,72,96,9.33,overcast clouds
44,Beloha,MG,-25.1667,45.05,66.15,63,0,12.57,clear sky
45,Lata,PT,40.1629,-8.3327,90.48,40,0,11.86,clear sky
46,Lebu,CL,-37.6167,-73.65,47.7,86,100,11.74,light rain
47,Xuanzhou,CN,30.9525,118.7553,80.62,86,98,4.07,overcast clouds
48,Shieli,KZ,44.1667,66.75,78.66,32,1,9.06,clear sky
49,Butaritari,KI,3.0707,172.7902,81.01,80,25,13.71,light rain
50,Tuktoyaktuk,CA,69.4541,-133.0374,48.2,100,100,8.05,fog
51,Kruisfontein,ZA,-34.0033,24.7314,74.88,30,0,12.01,clear sky
52,Manzanillo,CU,20.3433,-77.1167,86.65,62,81,2.08,broken clouds
53,Bereda,ES,43.2686,-7.5406,85.41,71,0,6.73,clear sky
54,Sydney,AU,-33.8679,151.2073,50.77,72,75,14.97,shower rain
55,Ayan,RU,56.45,138.1667,57.79,87,91,10.56,overcast clouds
56,Netivot,IL,31.4222,34.5886,82.6,58,0,8.7,clear sky
57,Tual,ID,-5.6667,132.75,79.93,82,100,21.3,overcast clouds
58,Qaanaaq,GL,77.484,-69.3632,42.64,77,99,0.49,overcast clouds
59,Basco,PH,20.4487,121.9702,84.0,80,62,15.19,broken clouds
60,Dryden,CA,49.7833,-92.7503,73.69,53,0,9.22,clear sky
61,Quatre Cocos,MU,-20.2078,57.7625,69.91,63,95,22.86,light rain
62,Pimentel,PE,-6.8367,-79.9342,70.09,64,20,12.66,few clouds
63,Ushuaia,AR,-54.8,-68.3,28.06,86,75,18.41,light snow
